001r																			
001v																		abs	abs
002r														abs					
002v																abs	abs	abs	abs
003r																			
003v																			
003r																			
004v																			
004r																			
005v																			
005r																			
005v																			
006r																			
006v																			
007r																			
007v																			
007r																			
008v																		abs	
008r																			
009v																			
009r																			
009v																			
010r																			
010v																			
011r																			
011v																		abs	abs
011r																			
012v																			
012r																			
013v																			
013r																			
013v																			
014r																			
014v																			
015r																			
015v																			
015r																			
016v																			
016r																			
017v																			
017r																			
017v																			
018r																			
018v																			
019r																			
019v																			
019r																			
020v																			
020r																			
021v																			
021r																			
021v																			
022r																			
022v																			
023r																			
023v																			
023r																			
024v																			
024r																			
025v																			
025r																			
025v																			
026r																			
026v																			
027r																			
027v																			
027r																			
028v																			
028r																			
029v																			
029r																			
029v																			
030r																			
030v																			
031r																			
031v																			
031r																			
032v																			
032r																			
033v																			
033r																			
033v																			
034r																			
034v																			
035r																			
035v																			
035r																			
036v																			
036r																			
037v																			
037r																			
037v																			
038r																			
038v																			
039r																			
039v																			
039r																			
040v																			
040r																			
041v																			
041r																			
041v																			
042r																			
042v																			
043r																			
043v																			
043r																			
044v																			
044r																			
045v																			
045r																			
045v																			
046r																			
046v																			
047r																			
047v																			
047r																			
048v																			
048r																			
049v																			
049r																			
049v																			
050r																			
050v																			
051r																			
051v																			
051r																			
052v																			
052r																			
053v																			
053r																			
053v																			
054r																			
054v																			
055r																			
055v																			
055r																			
056v																			
056r																			
057v																			
057r																			
057v																			
058r																			
058v																			
059r																			
059v																			
059r																			
060v																			
060r																			
061v																			
061r																			
061v																			
062r																			
062v																			
063r																			
063v																			
063r																			
064v																			
064r																			
065v																			
065r																			
065v																			
066r																			
066v																			
067r																			
067v																			
067r																			
068v																			
068r																			
069v																			
069r																			
069v																			
070r																			
070v																			
071r																			
071v																			
071r																			
072v																			
072r																			
073v																			
073r																			
073v																			
074r																			
074v																			
075r																			
075v																			
075r																			
076v																			
076r																			
077v																			
077r																			
077v																			
078r																			
078v																			
079r																			
079v																			
079r																			
080v																			
080r																			
081v																			
081r																			
081v																			
082r																			
082v																			
083r																			
083v																			
083r																			
084v																			
084r																			
085v																			
085r																			
085v																			
086r																			
086v																			
087r																			
087v																			
087r																			
088v																			
088r																			
089v																			
089r																			
089v																			
090r																			
090v																			
091r																			
091v																			
091r																			
092v																			
092r																			
093v																			
093r																			
093v																			
094r																			
094v																			
095r																			
095v																			
095r																			
096v																			
096r																			
097v																			
097r																			
097v																			
098r																			
098v																			
099r																			
099v																			
099r																			
100v																			
100r																			
101v																			
101r																			
101v																			
102r																			
102v																			
103r																			
103v																			
103r																			
104v																			
104r																			
105v																			
105r																			
105v																			
106r																			
106v																			
107r																			
107v																			
107r																			
108v																			
108r																			
109v																			
109r																			
109v																			
110r																			
110v																			
111r																			
111v																			
111r																			
112v																			
112r																			
113v																			
113r																			
113v																			
114r																			
114v																			
115r																			
115v																			
115r																			
116v																			
116r																			
117v																			
117r																			
117v																			
118r																			
118v																			
119r																			
119v																			
119r																			
120v																			
120r																			
121v																			
121r																			
121v																			
122r																			
122v																			
123r																			
123v																			
123r																			
124v																			
124r																			
125v																			
125r																			
125v																			
126r																			
126v																			
127r																			
127v																			
127r																			
128v																			
128r																			
129v																			
129r																			
129v																			
130r																			
130v																			
131r																			
131v																			
131r																			
132v																			
132r																			
133v																			
133r																			
133v																			
134r																			
134v																			
135r																			
135v																			
135r																			
136v																			
136r																			
137v																			
137r																			
137v																			
138r																			
138v																			
139r																			
139v																			
139r																			
140v																			
140r																			
141v																			
141r																			
141v																			
142r																			
142v																			
143r																			
143v																			
143r																			
144v																			
144r																			
145v																			
145r																			
145v																			
146r																			
146v																			
147r																			
147v																			
147r																			
148v																			
148r																			
149v																			
149r																			
149v																			
150r																			
150v																			
151r																			
151v																			
151r																			
152v																			
152r																			
153v																			
153r																			
153v																			
154r																			
154v																			
155r																			
155v																			
155r																			
156v																			
156r																			
157v																			
157r																			
157v																			
158r																			
158v																			
159r																			
159v																			
159r																			
160v																			
160r																			
161v																			
161r																			
161v																			
162r																			
162v																			
163r																			
163v																			
163r																			
164v																			
164r																			
165v																			
165r																			
165v																			
166r																			
166v																			
167r																			
167v																			
167r																			
168v																			
168r																			
169v																			
169r																			
169v																			
170r																			
170v																			
171r																			
171v																			
171r																			
172v																			
172r																			
173v																			
173r																			
173v																			
174r																			
174v																			
175r																			
175v																			
175r																			
176v																			
176r																			
177v																			
177r																			
177v																			
178r																			
178v																			
179r																			
179v																			
179r																			
180v																			
180r																			
181v																			
181r																			
181v																			
182r																			
182v																			
183r																			
183v																			
183r																			
184v																			
184r																			
185v																			
185r																			
185v																			
186r																			
186v																			
187r																			
187v																			
187r																			
188v																			
188r																			
189v																			
189r																			
189v																			
190r																			
190v																			
191r																			
191v																			
191r																			
192v																			
192r																			
193v																			
193r																			
193v																			
194r																			
194v																			
195r																			
195v																			
195r																			
196v																			
196r																			
197v																			
197r																			
197v																			
198r																			
198v																			
199r																			
199v																			
199r																			
200v																			
200r																			
201v																			
201r																			
201v																			
202r																			
202v																			
203r																			
203v																			
203r																			
204v																			
204r																			
205v																			
205r																			
205v																			
206r																			
206v																			
207r																			
207v																			
207r																			
208v																			
208r																			
209v																			
209r																			
209v																			
210r																			
